Star,Review
4.0,"얇고 통풍도 잘 되서 시원하게 입기 좋네요 어깨, 팔이 조금더 여유 있으면 좋겠네요 소매 기장도 조금 짧아요"
4.0,쿨탠다드라길래 얇고 시원한줄 알고 샀는데 생각보다 그렇게 얇진 않네요. 신축성이 떨어져서 움직임도 약간 불편합니다 
5.0,쿨탠다드 블레이저 세일을 해서 정가보다 저렴하게 구매할수있었고 지금처럼 더운 여름에 꼭 정장을 입어야만하는 자리에서 시원하게 입을수있는 소재와 두께감이라 정말 만족합니다.
5.0,시원한 소재의 깔끔한 블랙 블레이저에요. 여름에 갖춰입기 좋아요
5.0,스판끼잇고 여름철에도 무리없이 입을수있겠어요 핏 기장 딱 떨어집니다
5.0,너무좋아요 여름에 입기도좋고 편합니다 강추합니다
5.0,색상 진한 검정입니다. 원단 소재가 캐쥬얼한 느낌을 줘서 부담스럽지는 않습니당
5.0,쿨탠다드 덕분에 여름에 정장 입을 때 더위 걱정을 한 풀 꺾을 수 있어요
5.0,배송 빨라서 좋았고 어깨도 불편하지 않네요 정사이즈면 괜찮을거 같아요
5.0,"말하면 입만 아픈, 언제나 가성비 극강의 탑은 역시 무탠다드라고 생각합니다."
5.0,여름용 블레이저가 필요하여 구매 하였습니다 일반 버전에서 안감만 빠진 느낌이라 딱 무난합니다
5.0,시원하고 핏도 좋습니다  가격대비 재질이좋습니다 추천합니다
5.0,여름 전투용 정장으로 구입 했습니다. 확실히 얇고 시원하긴 해요!
5.0,디자인은 베이직한 기본 스타일 입니다 일반인보다 팔이좀 두꺼운 편이라 팔이 꽉끼지만 더큰사이즈가 없어 그냥 입습니다 이가격에 이퀄리티면 완전 대박입니다
5.0,핏 너무 스탠다드하고 너무 좋아요 얇고 활동성도 짱
5.0,여름철 격식 갖춰야 할 자리에서 입을 용도로 구매했습니다. 저렴한 가격에 잘 구입했습니다.
4.0,깔끔하고 블레이저의 기본을 다 하는 옷입니다! 유일하게 아쉬운 점은 어깨 패드가 다소 부자연스럽고 어깨 넓이도 조금 좁은 것 같습니다.
5.0,쿨텐다드긴한데 그래도 두께감이 없진않아요 시어서커처럼 시원하진 않지만 그래도 양호합니다 봄여름가을까지는가능할듯요 경조사 이거로 끝
5.0,더워서 쿨탠다드로 주문했는데 딱 좋네요 너무 얇지도 않아서 좋아요
5.0,여름에 정장입을 일이 많아서 샀는데 시원해서 좋을 거 같네요
5.0,기존 릴렉스핏 자켓도 있는데  그와 달리 쿨탠다드 제품은  하계용으로 뒷판이 없어서 가볍고 시원합니다. 마감 파이핑도 잘되어 있어서 옷이 흐트러짐이 없습니다.
