Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
디커내셔널 싸이즈 구매해서 루즈하게 입히고 있는데 이건 싸이즈가 딱 좋네요 블랙 화이트만 입는 아이인데 팩 세트라 너무 만족합니다 소재도 맘에 들고 건조기만 돌리지 않으면 내년까지 가능하지 않을까 싶습니다,,"가능하다, 건조기, 내년, 돌리지, 만족하다, 블랙, 세트, 소재, 이건, 입히다","2팩, 95싸이즈, s싸이즈, 가능하다, 건조기, 내년, 내셔널, 돌리지, 디 크다 내셔널, 디크다내셔널, 루즈, 만족하다, 블랙, 블랙화이트, 세트, 소재, 싶다, 싸다 이즈, 싸이, 싸이즈, 이건, 인데, 입히다, 화이트"
입는데 입어도 괜찮아요 사이즈 생각보다 큽니 다 시원해서 여름에 입 기 좋을 거 같아요, 사이즈,"사이즈, 시원하다, 여름, 크다","S, 사이즈, 시원하다, 여름, 크다"
커버낫 반팔티 이너로 입어도 좋고 단독으로 입어도 이쁩니다,,"단독, 이너, 커버","낫, 단독, 이너, 커버, 커버 낫, 커버낫, 티, 팔, 팔티"
핏도 이 쁘고 사이즈도 잘 맞아요 세탁해도 똑같아서 오래 입을 것 같습 미다,,"똑같다, 맞다, 밉다, 사이즈, 세탁, 오래, 핏","똑같다, 맞다, 밉다, 사이즈, 세탁, 오래, 핏"
감도 시원하고 좋아요 사이즈 조언도 잘 해주시고 입다가 괜찮으면 추가 주문 예정이에요, 사이즈,"감다, 사이즈, 시원하다, 예정, 조언, 주문, 추가, 해주시","감다, 사이즈, 시원, 시원하다, 예정, 이에요, 조언, 주문, 추가, 추가주문, 해주시"
투팩 이 만원대로 개당 만 오천원도 안 되게 샀어요 좀 크긴 한데 잘 입고 다니겠습니다 해서 세탁해도 안 늘어날 거 같아요,,"늘어나다, 대로, 만원, 세탁, 크다, 투팩","개다, 늘어나다, 대로, 되게, 만오천원, 만원, 세탁, 오천원, 짱짱, 크다, 투팩"
팩이라서 구매했습니다 휘뚜루 마 뚜루 입고 다니겠습니다,,"뚜루, 팩, 휘뚜루","2팩, 뚜루, 팩, 휘뚜루, 휘뚜루마뚜루"
평소 사이즈보다 한 치수 작은 사이즈로 시켰더니 잘 맞아요 기 본티로 깔끔합니다,,"깔끔하다, 맞다, 사이즈, 작다, 치수, 티, 평소","기본티, 깔끔하다, 맞다, 사이즈, 작다, 치수, 티, 평소"
질도 좋고 싸이즈도 너무 좋아서 두 번째 구매했어요,,"싸이즈, 질도","번째, 싸이, 싸이즈, 질, 질도"
색감이랑 핏 둘 다 마음에 들어 요 오버핏으로 입 기 적당해요, 오버핏,"색감, 오버핏, 적당하다","색감, 오버핏, 적당하다, 핏"
년전에 사서 너무 잘 입었는데 아이가 키가 많이 크면서 큰 사이즈로 재구입했습니다 아이가 이 옷을 좋아해서 정말 많이 입고 세탁했는데 변형도 없고 재질도 너무 좋아서 아이가 제일 좋아하는 옷이네요 가성비도 너무 좋습니다,,"가성비, 년전, 변형도, 사이즈, 세탁, 재질, 크다, 키","2년전, 가성비, 년전, 많이, 변형, 변형도, 사서, 사이즈, 세탁, 재, 재질, 좋아하다, 크다, 키"
